filename,original_size,sw_codec,sw_comp_mbps,sw_comp_ms_total,sw_comp_ms_per_call,sw_compressed_size,sw_ratio_pct,fpga_compressed_size,fpga_ratio_pct,fpga_kernel_event_mbps,fpga_kernel_wall_mbps,fpga_calls,fpga_kernel_event_ms_total,fpga_kernel_event_ms_per_call,fpga_kernel_wall_ms_total,fpga_kernel_wall_ms_per_call,fpga_kernel_event_vs_sw_speed_x,fpga_kernel_wall_vs_sw_speed_x,fpga_size_delta_pct
mozilla,51220480,zstd 1.5.7 -d14 -H15 -1 -1,460.26,333.86,111.29,21601275,42.17,20708601,40.43,211.79,211.74,3,725.54,241.85,725.70,241.90,0.46,0.46,-4.13
sao,7251944,zstd 1.5.7 -d14 -H15 -1 -1,483.59,44.99,15.00,6526350,89.99,5509201,75.97,210.00,209.76,3,103.60,34.53,103.72,34.57,0.43,0.43,-15.59
mr,9970564,zstd 1.5.7 -d14 -H15 -1 -1,388.27,77.04,25.68,3924203,39.36,3677841,36.89,211.72,211.58,3,141.28,47.09,141.37,47.12,0.55,0.54,-6.28
nci,33553445,zstd 1.5.7 -d14 -H15 -1 -1,829.11,121.41,40.47,3694210,11.01,4318294,12.87,212.79,212.73,3,473.05,157.68,473.19,157.73,0.26,0.26,16.89
x-ray,8474240,zstd 1.5.7 -d14 -H15 -1 -1,703.52,36.14,12.05,6786852,80.09,6458011,76.21,210.30,210.14,3,120.89,40.30,120.98,40.33,0.30,0.30,-4.85
webster,41458703,zstd 1.5.7 -d14 -H15 -1 -1,411.40,302.32,100.77,15868139,38.27,14633680,35.30,211.76,211.70,3,587.35,195.78,587.50,195.83,0.51,0.51,-7.78
xml,5345280,zstd 1.5.7 -d14 -H15 -1 -1,661.55,24.24,8.08,1002925,18.76,1081223,20.23,211.14,210.94,3,75.95,25.32,76.02,25.34,0.32,0.32,7.81
ooffice,6152192,zstd 1.5.7 -d14 -H15 -1 -1,338.13,54.58,18.19,3769754,61.27,3378738,54.92,210.20,210.00,3,87.81,29.27,87.89,29.30,0.62,0.62,-10.37
reymont,6627202,zstd 1.5.7 -d14 -H15 -1 -1,288.45,68.93,22.98,2588133,39.05,2345796,35.40,210.82,210.62,3,94.31,31.44,94.40,31.47,0.73,0.73,-9.36
osdb,10085684,zstd 1.5.7 -d14 -H15 -1 -1,352.34,85.87,28.62,5920853,58.71,4530892,44.92,210.67,210.49,3,143.62,47.87,143.74,47.91,0.60,0.60,-23.48
dickens,10192446,zstd 1.5.7 -d14 -H15 -1 -1,346.22,88.32,29.44,4832969,47.42,4419940,43.36,210.87,210.73,3,145.00,48.34,145.10,48.37,0.61,0.61,-8.55
samba,21606400,zstd 1.5.7 -d14 -H15 -1 -1,558.86,115.98,38.66,6793053,31.44,6279959,29.07,212.04,211.97,3,305.69,101.90,305.79,101.93,0.38,0.38,-7.55
TOTAL_WEIGHTED,211938580,zstd 1.5.7 -d14 -H15 -1 -1,469.69,1353.68,37.60,83308716,39.31,77342176,36.49,211.65,211.56,36,3004.08,83.45,3005.40,83.48,0.45,0.45,-7.16
